STATION	Date	LAT	LONG	Dilution	Detection	Distance	Eau
1	13-sept-17	45.831601	-73.333972	0.0104687	0	5000	Brun
1	14-sept-17	45.831601	-73.333972	0.0095574	0	5000	Brun
2	13-sept-17	45.831137	-73.332878	0.0058116	0	5000	Brun
2	14-sept-17	45.831137	-73.332878	0.0054068	0	5000	Brun
3	13-sept-17	45.830690	-73.331904	0.0014377	0	5000	Brun
3	14-sept-17	45.830690	-73.331904	0.0013864	0	5000	Brun
4	13-sept-17	45.829928	-73.330074	0.0000058	0	5000	Brun
5	13-sept-17	45.819721	-73.365320	0.0300580	1	1000	Brun
5	14-sept-17	45.819721	-73.365320	0.0262907	0	1000	Brun
6	13-sept-17	45.819403	-73.364293	0.0177301	0	1000	Brun
6	14-sept-17	45.819403	-73.364293	0.0164201	0	1000	Brun
7	13-sept-17	45.819065	-73.363209	0.0013315	0	1000	Brun
7	14-sept-17	45.819065	-73.363209	0.0013573	0	1000	Brun
8	13-sept-17	45.818469	-73.361327	0.0000000	0	1000	Brun
9	14-sept-17	45.817031	-73.367606	0.0108673	0	500	Brun
10	14-sept-17	45.816753	-73.366675	0.0221302	1	500	Brun
11	14-sept-17	45.816455	-73.365686	0.0006754	0	500	Brun
12	13-sept-17	45.815998	-73.364165	0.0000000	0	500	Brun
13	13-sept-17	45.814777	-73.369037	0.0173579	0	100	Brun
13	14-sept-17	45.814777	-73.369037	0.0138528	0	100	Brun
14	14-sept-17	45.814580	-73.368378	0.0398252	1	100	Brun
15	14-sept-17	45.814354	-73.367647	0.0019292	0	100	Brun
16	13-sept-17	45.813909	-73.366164	0.0000000	0	100	Brun
17	13-sept-17	45.814479	-73.369238	0.0091815	0	10	Brun
17	14-sept-17	45.814479	-73.369238	0.0086968	0	10	Brun
18	13-sept-17	45.814337	-73.368496	0.0827712	1	10	Brun
18	14-sept-17	45.814337	-73.368496	0.0811290	1	10	Brun
19	13-sept-17	45.814167	-73.367692	0.0000686	0	10	Brun
19	14-sept-17	45.814167	-73.367692	0.0001122	0	10	Brun
23	13-sept-17	45.825655	-73.319901	0.0056086	0	5000	Vert
23	14-sept-17	45.825655	-73.319901	0.0054034	0	5000	Vert
24	13-sept-17	45.826086	-73.320947	0.0046121	0	5000	Vert
24	14-sept-17	45.826086	-73.320947	0.0044261	0	5000	Vert
25	13-sept-17	45.826599	-73.322112	0.0023018	0	5000	Vert
25	14-sept-17	45.826599	-73.322112	0.0022044	1	5000	Vert
26	13-sept-17	45.827146	-73.323466	0.0001003	0	5000	Vert
27	13-sept-17	45.827626	-73.324584	0.0000008	0	5000	Vert
28	13-sept-17	45.829199	-73.328339	0.0000000	0	5000	Vert
29	13-sept-17	45.815537	-73.351629	0.0138550	0	1000	Vert
30	13-sept-17	45.815875	-73.352870	0.0016524	0	1000	Vert
31	13-sept-17	45.816282	-73.354111	0.0000013	0	1000	Vert
32	13-sept-17	45.816690	-73.355423	0.0000000	0	1000	Vert
33	13-sept-17	45.817038	-73.356663	0.0000000	0	1000	Vert
34	13-sept-17	45.818012	-73.359744	0.0000000	0	1000	Vert
35	13-sept-17	45.813337	-73.355375	0.0180004	0	500	Vert
35	14-sept-17	45.813337	-73.355375	0.0174977	1	500	Vert
36	13-sept-17	45.813708	-73.356616	0.0000430	0	500	Vert
37	13-sept-17	45.814039	-73.357700	0.0000000	0	500	Vert
38	13-sept-17	45.814427	-73.358960	0.0000000	0	500	Vert
39	13-sept-17	45.814725	-73.359948	0.0000000	0	500	Vert
40	13-sept-17	45.815564	-73.362724	0.0000000	0	500	Vert
41	13-sept-17	45.811462	-73.357949	0.0108416	1	100	Vert
42	13-sept-17	45.811787	-73.358973	0.0000000	0	100	Vert
43	13-sept-17	45.812081	-73.359939	0.0000000	0	100	Vert
43	14-sept-17	45.812081	-73.359939	0.0000000	0	100	Vert
44	13-sept-17	45.812339	-73.360819	0.0000000	0	100	Vert
45	13-sept-17	45.813517	-73.364819	0.0000000	0	100	Vert
46	13-sept-17	45.811000	-73.358530	0.0014425	1	10	Vert
47	13-sept-17	45.811282	-73.359591	0.0000000	0	10	Vert
48	13-sept-17	45.811540	-73.360400	0.0000000	0	10	Vert
48	14-sept-17	45.811540	-73.360400	0.0000000	0	10	Vert
