Fluorophore	Fish	Downstream sampling distance [m]	Detection	Cq	Copies
CO1	1	10	0	0	0
CO1	1	10	0	0	0
CO1	1	10	0	0	0
CO1	1	10	1	38.37	2.59
CO1	1	100	0	0	0
CO1	1	100	0	0	0
CO1	1	100	0	0	0
CO1	1	100	0	0	0
CO1	1	500	0	0	0
CO1	1	500	0	0	0
CO1	1	500	0	0	0
CO1	1	500	0	0	0
CO1	1	1000	0	0	0
CO1	1	1000	0	0	0
CO1	1	1000	0	0	0
CO1	1	1000	0	0	0
CO1	4	10	0	0	0
CO1	4	10	0	0	0
CO1	4	10	0	0	0
CO1	4	10	0	0	0
CO1	4	100	1	38.7	2.07
CO1	4	100	0	0	0
CO1	4	100	0	0	0
CO1	4	100	1	38.18	2.94
CO1	4	500	1	38.57	2.25
CO1	4	500	0	0	0
CO1	4	500	0	0	0
CO1	4	500	0	0	0
CO1	4	1000	1	40.5	0.6
CO1	4	1000	0	0	0
CO1	4	1000	0	0	0
CO1	4	1000	0	0	0
CO1	8	10	1	39.78	0.98
CO1	8	10	1	39.45	1.23
CO1	8	10	0	0	0
CO1	8	10	1	39.21	1.45
CO1	8	100	1	37.09	6.19
CO1	8	100	1	39.07	1.61
CO1	8	100	1	38.15	3
CO1	8	100	1	39.13	1.54
CO1	8	500	0	0	0
CO1	8	500	0	0	0
CO1	8	500	1	38.6	2.21
CO1	8	500	0	0	0
CO1	8	1000	1	38.18	2.95
CO1	8	1000	0	0	0
CO1	8	1000	1	38.47	2.41
CO1	8	1000	0	0	0
CO1	20	10	1	36.24	11.05
CO1	20	10	1	36.16	11.69
CO1	20	10	1	37.59	4.39
CO1	20	10	1	37.16	5.89
CO1	20	100	1	37.26	5.53
CO1	20	100	1	36.22	11.21
CO1	20	100	1	36.08	12.32
CO1	20	100	1	35.51	18.27
CO1	20	500	1	38.76	1.98
CO1	20	500	1	35.49	18.53
CO1	20	500	1	36.36	10.18
CO1	20	500	1	36.63	8.47
CO1	20	1000	1	39.2	1.46
CO1	20	1000	1	38.95	1.74
CO1	20	1000	1	37.43	4.91
CO1	20	1000	1	37.34	5.21
NAD5	1	10	0	0	0
NAD5	1	10	0	0	0
NAD5	1	10	0	0	0
NAD5	1	10	0	0	0
NAD5	1	100	0	0	0
NAD5	1	100	0	0	0
NAD5	1	100	0	0	0
NAD5	1	100	0	0	0
NAD5	1	500	0	0	0
NAD5	1	500	0	0	0
NAD5	1	500	1	42.08	0.39
NAD5	1	500	0	0	0
NAD5	1	1000	0	0	0
NAD5	1	1000	0	0	0
NAD5	1	1000	0	0	0
NAD5	1	1000	0	0	0
NAD5	4	10	0	0	0
NAD5	4	10	0	0	0
NAD5	4	10	0	0	0
NAD5	4	10	0	0	0
NAD5	4	100	0	0	0
NAD5	4	100	0	0	0
NAD5	4	100	1	44.98	0.05
NAD5	4	100	0	0	0
NAD5	4	500	0	0	0
NAD5	4	500	0	0	0
NAD5	4	500	1	45.1	0.05
NAD5	4	500	1	45.62	0.03
NAD5	4	1000	0	0	0
NAD5	4	1000	0	0	0
NAD5	4	1000	0	0	0
NAD5	4	1000	0	0	0
NAD5	8	10	1	47.01	0.01
NAD5	8	10	0	0	0
NAD5	8	10	0	0	0
NAD5	8	10	0	0	0
NAD5	8	100	1	46.22	0.02
NAD5	8	100	1	49	0
NAD5	8	100	1	48.25	0
NAD5	8	100	0	0	0
NAD5	8	500	0	0	0
NAD5	8	500	1	48.24	0
NAD5	8	500	0	0	0
NAD5	8	500	0	0	0
NAD5	8	1000	0	0	0
NAD5	8	1000	0	0	0
NAD5	8	1000	1	48.68	0
NAD5	8	1000	0	0	0
NAD5	20	10	1	43.08	0.19
NAD5	20	10	1	41.45	0.6
NAD5	20	10	1	41.63	0.53
NAD5	20	10	1	40.49	1.19
NAD5	20	100	1	47.77	0.01
NAD5	20	100	1	44.43	0.07
NAD5	20	100	1	41.81	0.47
NAD5	20	100	1	41.94	0.43
NAD5	20	500	1	41.75	0.49
NAD5	20	500	1	45.57	0.03
NAD5	20	500	1	43.59	0.13
NAD5	20	500	1	44.68	0.06
NAD5	20	1000	1	46.7	0.01
NAD5	20	1000	0	0	0
NAD5	20	1000	0	0	0
NAD5	20	1000	0	0	0

